customer_id,full_name,email,phone,county_code,county_name,city,postal_code,crime_risk,hail_risk,flood_risk,wind_risk,fire_risk,dob
C-000015,Octav Ene,barbutudosia@example.net,0237 310 518,BZ,Buzau,Ramnicul Sarat,940934,0.377,0.433,0.428,0.375,0.335,1960-11-18
C-000016,Filip Eftimie,udima@example.net,0743 737 631,BZ,Buzau,Buzau,610553,0.436,0.426,0.402,0.333,0.333,1951-04-14
C-000017,Tudosia Niță,ducu01@example.org,0769 513 338,AR,Arad,Lipova,105859,0.407,0.416,0.287,0.357,0.342,1975-03-20
C-000018,Brăduț Dochioiu,malvinaflorea@example.org,0749 810 801,TM,Timis,Sannicolau Mare,778017,0.572,0.368,0.278,0.413,0.389,1995-12-19
C-000019,Gina Nistor,npopa@example.com,0237 260 647,SV,Suceava,Falticeni,273071,0.401,0.441,0.319,0.446,0.372,1964-02-05
C-000020,Marcu Tudor,mdinu@example.com,0257 098 050,AR,Arad,Lipova,822790,0.347,0.361,0.281,0.411,0.369,1948-02-06
C-000021,Gheorghiță Pușcașu,ardeleanstelian@example.org,0253 191 361,CJ,Cluj,Turda,904191,0.511,0.414,0.238,0.361,0.378,2005-04-09
C-000022,Nicoară Suciu,tabacuantonia@example.com,0720 998 543,TM,Timis,Timisoara,390774,0.569,0.417,0.298,0.356,0.354,1990-04-06
C-000023,Mariana Georgescu,elvira47@example.com,0731 107 991,GR,Giurgiu,Giurgiu,562800,0.391,0.336,0.48,0.403,0.337,1949-09-02
C-000024,Giorgian Georgescu,mazilescubartolomeu@example.org,0766 427 849,VL,Valcea,Ramnicu Valcea,687327,0.42,0.429,0.39,0.328,0.401,1999-08-11
C-000025,Manole Ioniță,dimaemanuela@example.org,0243 824 493,BH,Bihor,Alesd,942344,0.356,0.455,0.354,0.411,0.38,1993-07-09
C-000026,Lavinia Voinea,mihaelapopescu@example.com,0236 164 005,MM,Maramures,Baia Mare,615186,0.322,0.554,0.378,0.463,0.424,1997-02-28
C-000027,Teodor Georgescu,opreavincentiu@example.net,0772 801 128,TR,Teleorman,Alexandria,704107,0.404,0.392,0.405,0.349,0.336,1947-02-20
C-000028,Nicu Stancu,nitacostache@example.org,0269 505 331,IF,Ilfov,Chitila,942525,0.515,0.348,0.337,0.43,0.373,1968-10-02
C-000029,Sandu Dinu,dobredumitru@example.com,0233 256 342,AB,Alba,Alba Iulia,508885,0.357,0.516,0.321,0.418,0.4,1998-04-08
C-000030,Adelin Albu,mene@example.com,0763 433 036,PH,Prahova,Ploiesti,685111,0.439,0.448,0.258,0.323,0.335,1967-01-09
C-000031,Caterina Gheorghiu,steliannistor@example.net,0747 501 429,MS,Mures,Reghin,821332,0.323,0.552,0.26,0.436,0.451,1962-10-02
C-000032,Dida Suciu,teodora56@example.net,0758 169 340,NT,Neamt,Piatra Neamt,866017,0.336,0.535,0.34,0.419,0.452,1992-12-01
C-000033,Adela Pușcașu,uvoinea@example.net,0733 356 159,BR,Braila,Braila,329033,0.351,0.317,0.543,0.395,0.38,1966-01-18
C-000034,Roberta Preda,stancanistor@example.com,0769 482 366,BZB,Bucuresti,Sector 4,976064,0.604,0.326,0.219,0.347,0.31,1990-10-11
C-000035,Robert Stoica,laurentiastancu@example.org,0268 436 995,CL,Calarasi,Calarasi,233131,0.411,0.331,0.409,0.39,0.347,1976-04-30
C-000036,Corvin Voinea,predaromeo@example.net,0251 148 951,IF,Ilfov,Voluntari,602484,0.465,0.363,0.335,0.376,0.375,2000-05-19
C-000037,Ruxandra Ene,dinualin@example.org,0261 791 769,BN,Bistrita-Nasaud,Nasaud,538803,0.131,0.331,0.152,0.21,0.214,1957-12-01
C-000038,Gabi Nistor,dinuadelin@example.org,0772 328 708,DJ,Dolj,Craiova,229652,0.483,0.402,0.406,0.354,0.37,1961-08-23
C-000039,David Dima,htudor@example.net,0711 579 868,TL,Tulcea,Babadag,552611,0.459,0.254,0.689,0.688,0.312,1975-01-12
C-000040,Emanuil Oprea,zarazaflorea@example.net,0265 873 471,BZB,Bucuresti,Sector 3,750918,0.583,0.299,0.211,0.349,0.359,1993-03-30
C-000041,Marcheta Gheorghiu,lascarstan@example.org,0247 236 231,AG,Arges,Campulung,578212,0.384,0.405,0.357,0.414,0.373,1972-12-01
C-000042,Sorina Stan,dnistor@example.org,0770 690 967,IF,Ilfov,Chitila,107692,0.419,0.339,0.394,0.39,0.316,1945-02-01
C-000043,Renata Nemeș,ladislau89@example.org,0755 346 706,CJ,Cluj,Turda,986288,0.53,0.442,0.315,0.389,0.372,1967-07-24
C-000044,Gianina Pop,tabacutudor@example.org,0768 990 162,PH,Prahova,Sinaia,673307,0.57,0.458,0.281,0.375,0.403,2003-09-04
C-000045,Ionela Ardelean,iulianamanole@example.org,0751 556 464,GL,Galati,Galati,500025,0.462,0.328,0.508,0.464,0.423,2001-07-02
C-000046,Edmond Ababei,wardelean@example.org,0721 100 330,VS,Vaslui,Husi,310287,0.456,0.409,0.324,0.345,0.389,1986-12-20
C-000047,Mariana Dima,htudor@example.net,0257 745 299,CJ,Cluj,Dej,504074,0.553,0.406,0.304,0.352,0.385,1995-08-01
C-000048,Geta Ioniță,stanescualexandrina@example.com,0743 663 193,BZB,Bucuresti,Sector 3,870105,0.634,0.316,0.2,0.358,0.402,1951-08-15
C-000049,Pătru Diaconu,walbu@example.net,0772 518 506,BZ,Buzau,Ramnicul Sarat,898654,0.342,0.394,0.39,0.357,0.366,2000-08-24
C-000050,Denisa Niță,raresdinu@example.com,0252 849 877,IF,Ilfov,Chitila,369725,0.51,0.36,0.366,0.352,0.323,1974-04-30
C-000051,Silvia Florea,gheorghiuludmila@example.org,0731 799 650,BZB,Bucuresti,Sector 2,254076,0.71,0.356,0.252,0.38,0.317,1978-04-29
C-000052,Ionela Popescu,mazilescugrigore@example.com,0265 948 083,BH,Bihor,Alesd,811139,0.345,0.37,0.283,0.395,0.352,1950-07-06
C-000053,Arsenie Popescu,sflorea@example.com,0722 770 143,GL,Galati,Galati,199984,0.414,0.319,0.442,0.471,0.319,1972-03-16
C-000054,Roxelana Tudor,emocanu@example.net,0748 568 557,CJ,Cluj,Turda,534366,0.497,0.448,0.253,0.356,0.423,1963-02-14
C-000055,Melina Ene,dumitrescugabriela@example.org,0732 823 374,BZ,Buzau,Buzau,307642,0.344,0.353,0.389,0.346,0.383,1993-12-29
C-000056,Dana Dumitrescu,doinamocanu@example.org,0268 082 400,CJ,Cluj,Turda,760724,0.563,0.419,0.284,0.43,0.359,1982-05-05
C-000057,Eliana Toma,adiaconescu@example.net,0266 777 520,AR,Arad,Lipova,371349,0.382,0.342,0.292,0.427,0.372,1961-11-13
C-000058,Doina Barbu,florin19@example.net,0730 022 941,IS,Iasi,Pascani,449357,0.631,0.319,0.278,0.43,0.385,1961-07-29
C-000059,Marin Nistor,ysuciu@example.net,0258 867 749,CT,Constanta,Constanta,862651,0.42,0.275,0.535,0.617,0.322,1973-11-13
C-000060,Miron Tabacu,tabacuviviana@example.org,0780 334 123,SV,Suceava,Radauti,422587,0.42,0.488,0.368,0.37,0.454,1956-07-07
C-000061,Frusina Aanei,cristofor97@example.com,0234 344 713,BR,Braila,Braila,568206,0.364,0.388,0.534,0.365,0.347,2007-07-23
C-000062,Severin Stănescu,nitacodrin@example.net,0258 242 102,MM,Maramures,Baia Mare,194153,0.364,0.61,0.381,0.374,0.387,1998-08-16
C-000063,Pamfil Stoica,loreleidiaconu@example.com,0739 464 887,CT,Constanta,Mangalia,647866,0.41,0.243,0.644,0.678,0.347,1974-06-23
C-000064,Paul Albu,silvia94@example.org,0241 399 049,BZB,Bucuresti,Sector 5,319236,0.594,0.35,0.251,0.327,0.319,1947-06-04
C-000065,Edmond Pușcașu,lgheorghiu@example.net,0771 717 565,PH,Prahova,Sinaia,545955,0.442,0.37,0.282,0.378,0.417,1966-07-14
C-000066,Georgeta Marin,gabriel46@example.net,0234 715 451,IF,Ilfov,Otopeni,187280,0.524,0.362,0.354,0.337,0.324,1997-04-04
C-000067,Horia Aanei,apop@example.org,0254 859 770,SV,Suceava,Suceava,795116,0.334,0.566,0.325,0.485,0.367,1958-07-16
C-000068,Luca Dima,loreleipopescu@example.org,0233 932 480,CV,Covasna,Targu Secuiesc,577764,0.277,0.554,0.314,0.509,0.502,1982-04-08
C-000069,Crenguța Ene,popblanduzia@example.net,0249 748 467,BT,Botosani,Botosani,957023,0.398,0.511,0.337,0.407,0.365,1976-10-27
C-000070,David Stancu,nemesemanuil@example.net,0758 214 658,GL,Galati,Tecuci,578696,0.385,0.43,0.548,0.456,0.371,1962-11-13
C-000071,Ozana Ioniță,qstanescu@example.com,0249 787 558,SV,Suceava,Falticeni,814271,0.335,0.564,0.36,0.451,0.354,1996-08-07
C-000072,Darius Manole,floreamugur@example.org,0784 057 662,BZB,Bucuresti,Sector 4,387240,0.721,0.321,0.236,0.36,0.347,1978-05-24
C-000073,Eliana Preda,gmarin@example.com,0242 870 262,BZB,Bucuresti,Sector 5,774656,0.775,0.328,0.236,0.329,0.397,1949-10-11
C-000074,Narcisa Marin,pnistor@example.org,0761 865 780,GR,Giurgiu,Giurgiu,844509,0.444,0.333,0.486,0.417,0.311,1986-09-15
C-000075,Marcheta Toma,doinacristea@example.com,0242 172 400,VL,Valcea,Ramnicu Valcea,352484,0.356,0.446,0.333,0.326,0.334,1966-10-05
C-000076,Rada Mazilescu,pamfildinu@example.org,0748 692 221,CJ,Cluj,Cluj-Napoca,590026,0.519,0.402,0.314,0.364,0.396,1986-03-01
C-000077,Sandu Voinea,popescudacian@example.org,0752 474 074,IF,Ilfov,Voluntari,959006,0.474,0.364,0.333,0.346,0.393,1990-10-19
C-000078,Cătălina Oprea,iuliantoma@example.com,0739 474 367,CJ,Cluj,Dej,357770,0.522,0.398,0.255,0.385,0.365,1951-12-11
C-000079,Adam Stoica,iosifionescu@example.org,0720 640 909,BV,Brasov,Brasov,951310,0.325,0.531,0.338,0.546,0.408,1995-05-25
C-000080,Paula Ene,omazilescu@example.net,0254 942 104,PH,Prahova,Ploiesti,319290,0.442,0.44,0.271,0.342,0.381,1998-05-09
C-000081,Aneta Stănescu,costincristea@example.com,0760 623 285,CT,Constanta,Mangalia,391371,0.395,0.244,0.541,0.631,0.335,1980-10-23
C-000082,Gherghina Georgescu,vionescu@example.com,0244 712 368,BZB,Bucuresti,Sector 5,352514,0.603,0.362,0.198,0.314,0.354,1969-07-30
C-000083,Amza Aanei,nicoletadiaconu@example.com,0766 496 513,BV,Brasov,Brasov,139104,0.268,0.665,0.384,0.481,0.493,1976-10-08
C-000084,Sandu Stancu,floriantomescu@example.org,0723 746 120,DJ,Dolj,Craiova,403522,0.389,0.319,0.403,0.332,0.307,1947-03-21
C-000085,Francisc Diaconu,floreaniculina@example.org,0785 758 692,GL,Galati,Galati,525839,0.473,0.429,0.556,0.386,0.344,2004-12-09
C-000086,Victor Diaconescu,atabacu@example.com,0234 537 735,AG,Arges,Campulung,193433,0.412,0.398,0.348,0.366,0.404,1951-06-13
C-000087,Leontin Tomescu,auricanistor@example.com,0254 171 390,BC,Bacau,Moinesti,855850,0.383,0.365,0.447,0.418,0.361,1948-02-17
C-000088,Marioara Dima,eeftimie@example.net,0256 933 529,PH,Prahova,Sinaia,170014,0.457,0.352,0.274,0.342,0.339,1944-11-17
C-000089,Filofteia Dima,zgeorgescu@example.org,0244 020 539,CS,Caras-Severin,Resita,513848,0.167,0.339,0.154,0.198,0.199,1966-09-20
C-000090,Ica Georgescu,dimavladelina@example.com,0748 117 758,GL,Galati,Tecuci,821208,0.403,0.425,0.512,0.464,0.338,1985-01-31
C-000091,Dacian Preda,tabacuanton@example.net,0720 847 007,BH,Bihor,Salonta,820606,0.444,0.411,0.311,0.389,0.343,2002-05-06
C-000092,Cantemir Voinea,popescuvaleria@example.com,0239 159 212,PH,Prahova,Campina,375115,0.508,0.378,0.286,0.337,0.329,1963-05-27
C-000093,Adam Suciu,dionescu@example.net,0727 611 836,BZB,Bucuresti,Sector 1,193529,0.695,0.341,0.195,0.397,0.339,1975-06-01
C-000094,Barbu Marin,anistor@example.net,0242 565 452,VL,Valcea,Dragasani,892526,0.385,0.421,0.319,0.38,0.356,1991-06-05
C-000095,Carolina Cristea,cristealioara@example.org,0732 528 098,BZB,Bucuresti,Sector 6,621648,0.769,0.36,0.204,0.36,0.39,1982-11-28
C-000096,Ecaterina Nistor,olimpianardelean@example.com,0711 451 983,DJ,Dolj,Craiova,735490,0.414,0.31,0.408,0.413,0.327,1955-03-20
C-000097,Lucreția Diaconescu,visarionmocanu@example.org,0780 493 689,DJ,Dolj,Craiova,502603,0.44,0.302,0.371,0.378,0.32,1986-06-10
C-000098,Rafael Tudor,alicedochioiu@example.com,0738 455 022,BC,Bacau,Bacau,427994,0.47,0.445,0.416,0.391,0.392,1983-03-23
C-000099,Caterina Dinu,cristeazaharia@example.net,0257 667 525,AG,Arges,Pitesti,943251,0.452,0.44,0.332,0.325,0.413,1965-11-22
C-000100,Mircea Suciu,ardeleancezara@example.org,0731 901 476,CT,Constanta,Constanta,214746,0.363,0.234,0.712,0.527,0.389,1977-09-26
C-000101,Bartolomeu Gheorghiu,predacodrin@example.com,0771 149 784,IF,Ilfov,Chitila,876293,0.532,0.4,0.372,0.373,0.345,1947-10-11
C-000102,Amza Suciu,aaneidaria@example.com,0257 244 510,MS,Mures,Sighisoara,445188,0.301,0.449,0.274,0.457,0.366,1978-07-14
C-000103,Ileana Dima,iustin38@example.net,0728 516 060,MM,Maramures,Sighetu Marmatiei,876713,0.365,0.556,0.363,0.387,0.463,1975-12-22
C-000104,Safta Stoica,nae66@example.com,0244 605 297,DJ,Dolj,Bailesti,256778,0.46,0.354,0.339,0.355,0.366,2001-04-22
C-000105,Consuela Niță,florealoredana@example.net,0769 816 453,IS,Iasi,Pascani,561337,0.553,0.376,0.319,0.431,0.373,1967-05-09
C-000106,Cerasela Preda,puscasuminodora@example.org,0763 523 124,HD,Hunedoara,Hunedoara,772849,0.364,0.546,0.282,0.466,0.444,1958-02-10
C-000107,Petrică Dinu,dochioiusalomea@example.com,0752 997 995,BZB,Bucuresti,Sector 5,540867,0.649,0.318,0.246,0.351,0.375,2003-07-01
C-000108,Florența Oprea,popaluana@example.net,0268 490 581,CJ,Cluj,Turda,395256,0.442,0.483,0.246,0.341,0.352,1965-10-23
C-000109,Dacian Albu,mocanufabiana@example.org,0722 199 867,CJ,Cluj,Turda,480527,0.471,0.377,0.279,0.398,0.327,1984-03-06
C-000110,Cristobal Stoica,manoleromulus@example.net,0249 071 518,BR,Braila,Braila,533010,0.396,0.339,0.438,0.43,0.33,1988-08-27
C-000111,Antonela Florea,hoprea@example.net,0725 255 466,BZB,Bucuresti,Sector 3,548138,0.704,0.361,0.259,0.362,0.391,1997-05-22
C-000112,Paul Ardelean,axintemarin@example.org,0741 644 925,GL,Galati,Galati,611350,0.432,0.413,0.441,0.39,0.408,1950-03-26
C-000113,Tinca Ioniță,eliza91@example.com,0741 652 816,MS,Mures,Sighisoara,944923,0.334,0.509,0.282,0.36,0.363,1979-04-16
C-000114,Alma Mocanu,corinaeftimie@example.com,0788 733 221,TM,Timis,Sannicolau Mare,338240,0.59,0.357,0.29,0.438,0.322,1964-10-24
C-000115,Grațian Stan,qalbu@example.com,0788 929 622,TR,Teleorman,Turnu Magurele,440485,0.468,0.32,0.319,0.383,0.402,1956-12-28
C-000116,Codruț Albu,victoria37@example.net,0266 738 347,DJ,Dolj,Craiova,269952,0.386,0.341,0.373,0.416,0.365,2006-03-15
C-000117,Viorica Voinea,doprea@example.com,0767 886 239,SV,Suceava,Radauti,188009,0.363,0.455,0.332,0.429,0.39,1954-02-07
C-000118,Aureliana Tomescu,jmocanu@example.org,0736 814 124,BZB,Bucuresti,Sector 4,461842,0.619,0.359,0.218,0.301,0.315,1975-04-06
C-000119,Codrin Cristea,opreamanole@example.org,0770 068 536,AG,Arges,Curtea de Arges,880680,0.377,0.414,0.404,0.333,0.407,1950-03-29
C-000120,Lucreția Ababei,cazimirtomescu@example.com,0248 204 727,SV,Suceava,Falticeni,359069,0.325,0.461,0.367,0.434,0.427,1975-03-20
C-000121,Clara Ababei,dianadinu@example.net,0734 986 143,BZ,Buzau,Buzau,815708,0.455,0.427,0.422,0.429,0.358,1965-03-07
C-000122,Astrid Florea,teohari97@example.org,0244 798 089,BZB,Bucuresti,Sector 3,895175,0.635,0.351,0.214,0.361,0.367,1961-02-24
C-000123,Pompilia Niță,tabacuilinca@example.org,0743 621 851,DB,Dambovita,Gaesti,878589,0.344,0.388,0.425,0.324,0.403,1980-06-26
C-000124,Alexandru Popa,tomajana@example.com,0262 051 531,CJ,Cluj,Dej,307671,0.429,0.483,0.292,0.39,0.402,1997-03-09
C-000125,Emilia Albu,veniaminmarin@example.net,0252 772 217,DB,Dambovita,Gaesti,620747,0.357,0.457,0.42,0.422,0.356,1947-03-16
C-000126,Laura Albu,albujenel@example.com,0758 687 403,BT,Botosani,Dorohoi,844528,0.41,0.487,0.39,0.446,0.417,1964-02-27
C-000127,Astrid Tomescu,iancudiaconu@example.com,0771 676 527,CJ,Cluj,Turda,238178,0.462,0.469,0.261,0.396,0.415,1991-10-13
C-000128,Viorica Pușcașu,anutanita@example.org,0771 928 451,MM,Maramures,Baia Mare,360850,0.33,0.57,0.362,0.441,0.378,1950-02-19
C-000129,Vlaicu Ionescu,lucianasuciu@example.net,0772 275 705,CL,Calarasi,Calarasi,496865,0.429,0.322,0.522,0.405,0.377,1986-07-12
C-000130,Octavia Toma,barbusteliana@example.net,0769 582 029,SV,Suceava,Suceava,164665,0.368,0.497,0.413,0.432,0.413,1990-10-30
C-000131,Angela Dima,floreasilvia@example.com,0765 690 927,TR,Teleorman,Turnu Magurele,760119,0.365,0.357,0.336,0.425,0.315,1969-12-06
C-000132,Costache Barbu,hdima@example.com,0768 543 102,IS,Iasi,Iasi,780483,0.608,0.431,0.298,0.351,0.347,1978-08-24
C-000133,Maxim Diaconu,elodiaoprea@example.org,0725 473 121,BZB,Bucuresti,Sector 2,283474,0.681,0.357,0.212,0.344,0.401,1975-06-13
C-000134,Costel Cristea,ludovicbarbu@example.net,0746 442 258,GL,Galati,Tecuci,774255,0.404,0.356,0.444,0.385,0.414,1959-12-12
C-000135,Larisa Dima,popescualistar@example.com,0740 957 829,BC,Bacau,Bacau,149441,0.461,0.343,0.442,0.359,0.413,2004-11-10
C-000136,Carmina Ioniță,eric86@example.com,0743 125 177,BZB,Bucuresti,Sector 3,594543,0.604,0.296,0.236,0.374,0.36,1990-12-20
C-000137,Elisaveta Stancu,xdochioiu@example.org,0771 801 824,DB,Dambovita,Targoviste,740267,0.342,0.393,0.391,0.387,0.406,1955-11-22
C-000138,Silvia Ene,teohariionescu@example.org,0262 384 249,CL,Calarasi,Oltenita,509404,0.39,0.316,0.521,0.451,0.319,1980-12-27
C-000139,Gheorghiță Tomescu,stanescudavid@example.org,0720 995 900,BZB,Bucuresti,Sector 2,973638,0.685,0.284,0.249,0.362,0.362,1950-03-19
C-000140,Tiberiu Stoica,simonaeftimie@example.net,0770 907 844,IL,Ialomita,Fetesti,558846,0.401,0.399,0.401,0.36,0.316,1977-07-20
C-000141,Aristide Ioniță,sbarbu@example.org,0250 767 735,VL,Valcea,Dragasani,317529,0.399,0.479,0.348,0.37,0.43,1985-12-20
C-000142,Safta Manole,nicodimdima@example.com,0758 815 371,CT,Constanta,Mangalia,401541,0.441,0.252,0.689,0.59,0.398,1962-11-21
C-000143,Mălina Dinu,ardeleanfilofteia@example.com,0725 632 595,AG,Arges,Campulung,357934,0.357,0.393,0.365,0.377,0.35,1957-08-09
C-000144,Georgel Preda,tpopescu@example.com,0232 168 733,HD,Hunedoara,Deva,454664,0.355,0.53,0.328,0.437,0.364,1984-05-20
C-000145,Atena Ardelean,malinasuciu@example.net,0729 748 016,MS,Mures,Targu Mures,787458,0.327,0.543,0.312,0.451,0.458,1953-10-19
C-000146,Violeta Nistor,antonienistor@example.org,0742 835 841,HR,Harghita,Miercurea Ciuc,858388,0.284,0.596,0.4,0.471,0.4,1970-12-23
C-000147,Lucențiu Gheorghiu,nvoinea@example.org,0246 165 585,IS,Iasi,Pascani,974020,0.51,0.376,0.36,0.369,0.35,1996-01-23
C-000148,Julia Suciu,gnistor@example.org,0235 025 787,GL,Galati,Tecuci,280164,0.448,0.339,0.526,0.395,0.359,1954-10-27
C-000149,Sofia Tabacu,dorelnistor@example.net,0733 495 888,BZB,Bucuresti,Sector 3,408384,0.582,0.324,0.2,0.323,0.376,1978-01-08
C-000150,Emanuil Ababei,leordeanvoinea@example.org,0770 940 974,CV,Covasna,Targu Secuiesc,246570,0.302,0.606,0.316,0.465,0.384,1989-04-19
C-000151,Aurelia Stănescu,hdobre@example.net,0735 962 309,CJ,Cluj,Cluj-Napoca,273647,0.482,0.41,0.262,0.356,0.329,1992-05-10
C-000152,Iustina Ababei,amanole@example.org,0784 368 970,CT,Constanta,Constanta,796544,0.432,0.276,0.699,0.588,0.378,1992-09-18
C-000153,Ilarie Eftimie,qmanole@example.com,0748 652 785,TR,Teleorman,Turnu Magurele,819299,0.438,0.387,0.33,0.35,0.341,1981-11-10
C-000154,Titus Georgescu,mpopa@example.org,0265 843 443,BZB,Bucuresti,Sector 6,483373,0.64,0.325,0.219,0.325,0.35,1991-08-29
C-000155,Savina Popa,vladimirgheorghiu@example.com,0245 986 652,TM,Timis,Lugoj,970832,0.578,0.357,0.277,0.36,0.383,1964-06-14
C-000156,Paulica Cristea,petretomescu@example.com,0732 733 848,MS,Mures,Targu Mures,834310,0.305,0.502,0.278,0.42,0.354,1992-01-23
C-000157,Eugenia Diaconescu,pstanescu@example.org,0236 833 016,BV,Brasov,Sacele,193736,0.345,0.592,0.389,0.472,0.507,1967-03-01
C-000158,Dana Voinea,aaneivictor@example.org,0784 773 454,BZB,Bucuresti,Sector 6,327976,0.717,0.283,0.194,0.366,0.333,1988-08-21
C-000159,Coralia Tomescu,iene@example.net,0735 026 206,CT,Constanta,Medgidia,154567,0.384,0.232,0.604,0.545,0.325,1998-04-22
C-000160,Irina Ionescu,aaneifloarea@example.net,0727 154 788,BZB,Bucuresti,Sector 2,569781,0.758,0.354,0.195,0.343,0.371,1978-04-19
C-000161,Gică Pop,dacianadiaconu@example.com,0250 742 054,SB,Sibiu,Medias,882424,0.338,0.569,0.35,0.469,0.472,1983-04-29
C-000162,Ileana Tabacu,carol85@example.org,0769 122 753,CV,Covasna,Targu Secuiesc,733399,0.273,0.527,0.391,0.486,0.409,1945-02-24
C-000163,Adi Florea,vgheorghiu@example.com,0744 904 530,SB,Sibiu,Medias,138857,0.277,0.588,0.369,0.458,0.421,1990-02-16
C-000164,Doru Ioniță,nistorsorin@example.net,0788 414 593,BZB,Bucuresti,Sector 5,170868,0.652,0.294,0.215,0.328,0.316,1959-08-07
C-000165,Eremia Dinu,xsuciu@example.com,0738 878 339,CS,Caras-Severin,Resita,278305,0.153,0.3,0.179,0.217,0.247,2004-02-07
C-000166,Ionică Oprea,emocanu@example.net,0244 088 398,BR,Braila,Braila,991443,0.348,0.374,0.445,0.427,0.304,1954-11-19
C-000167,Sofia Pușcașu,rdiaconu@example.org,0736 971 870,GJ,Gorj,Motru,614946,0.419,0.424,0.375,0.401,0.336,1975-07-18
C-000168,Horea Nistor,dstoica@example.net,0752 406 403,DJ,Dolj,Bailesti,878387,0.428,0.346,0.356,0.353,0.324,1984-01-16
C-000169,Aristița Niță,avramstan@example.org,0238 704 622,BV,Brasov,Fagaras,401943,0.256,0.519,0.378,0.544,0.389,1996-10-19
C-000170,Zamfira Nemeș,ynemes@example.org,0730 825 128,CJ,Cluj,Dej,722573,0.453,0.377,0.28,0.386,0.408,1971-06-08
C-000171,Luciana Aanei,ionitamanuela@example.net,0735 868 633,PH,Prahova,Sinaia,450758,0.571,0.39,0.303,0.349,0.331,1976-01-12
C-000172,Florina Gheorghiu,diaconuanatolie@example.net,0770 903 311,BZB,Bucuresti,Sector 2,153217,0.721,0.283,0.238,0.364,0.377,1985-02-07
C-000173,Crin Suciu,floreavladelina@example.org,0769 738 302,GJ,Gorj,Motru,404047,0.415,0.488,0.337,0.319,0.379,1978-12-23
C-000174,Marcela Stoica,laurentiuflorea@example.com,0248 836 440,OT,Olt,Slatina,194140,0.462,0.363,0.379,0.387,0.308,1982-07-28
C-000175,Silvian Voinea,marcu70@example.com,0722 685 662,MS,Mures,Targu Mures,338314,0.333,0.492,0.333,0.427,0.402,1965-02-03
C-000176,Iosefina Stan,oflorea@example.com,0737 270 866,TM,Timis,Lugoj,911136,0.507,0.433,0.3,0.353,0.361,1982-08-11
C-000177,Aleodor Florea,dariamarin@example.net,0240 751 830,TM,Timis,Sannicolau Mare,744661,0.525,0.344,0.29,0.454,0.385,1962-12-15
C-000178,Petruț Suciu,barbucrina@example.net,0735 837 354,BN,Bistrita-Nasaud,Bistrita,923215,0.132,0.276,0.193,0.201,0.207,2006-07-18
C-000179,Liana Dumitrescu,popadumitrana@example.net,0727 363 854,BZB,Bucuresti,Sector 4,562600,0.757,0.357,0.234,0.363,0.365,1970-08-04
C-000180,Iustinian Tomescu,iustiniangeorgescu@example.com,0758 771 753,IS,Iasi,Pascani,141962,0.54,0.357,0.301,0.378,0.361,1969-11-29
C-000181,Barbu Albu,vene@example.org,0232 489 964,CT,Constanta,Medgidia,834256,0.423,0.214,0.58,0.593,0.301,1955-01-22
