customer_id,full_name,email,phone,county_code,county_name,city,postal_code,crime_risk,hail_risk,flood_risk,wind_risk,fire_risk,dist_fire_station_km,dist_hydrant_km,dist_police_km,dist_coast_km,dist_danube_km,dob
C-000033,Adela Pușcașu,uvoinea@example.net,0733 356 159,BR,Braila,Braila,329033,0.351,0.317,0.543,0.395,0.38,0.48,4.01,5.01,443.88,16.58,1966-01-17
C-000034,Roberta Preda,stancanistor@example.com,0769 482 366,BZB,Bucuresti,Sector 4,976064,0.604,0.326,0.219,0.347,0.31,0.06,1.04,1.49,294.14,181.25,1990-10-10
C-000035,Robert Stoica,laurentiastancu@example.org,0268 436 995,CL,Calarasi,Calarasi,233131,0.411,0.331,0.409,0.39,0.347,0.15,3.96,5.31,244.43,19.9,1976-04-29
C-000036,Corvin Voinea,predaromeo@example.net,0251 148 951,IF,Ilfov,Voluntari,602484,0.465,0.363,0.335,0.376,0.375,0.31,2.77,3.07,515.44,212.83,2000-05-18
C-000037,Ruxandra Ene,dinualin@example.org,0261 791 769,BN,Bistrita-Nasaud,Nasaud,538803,0.131,0.331,0.152,0.21,0.214,0.19,0.24,18.0,392.44,74.28,1957-11-30
C-000038,Gabi Nistor,dinuadelin@example.org,0772 328 708,DJ,Dolj,Craiova,229652,0.483,0.402,0.406,0.354,0.37,0.3,3.19,13.48,165.15,91.39,1961-08-22
C-000039,David Dima,htudor@example.net,0711 579 868,TL,Tulcea,Babadag,552611,0.459,0.254,0.689,0.688,0.312,0.2,7.5,8.81,5.37,5.34,1975-01-11
C-000040,Emanuil Oprea,zarazaflorea@example.net,0265 873 471,BZB,Bucuresti,Sector 3,750918,0.583,0.299,0.211,0.349,0.359,0.09,0.1,1.41,428.51,312.27,1993-03-29
C-000041,Marcheta Gheorghiu,lascarstan@example.org,0247 236 231,AG,Arges,Campulung,578212,0.384,0.405,0.357,0.414,0.373,0.32,2.69,3.16,257.11,214.56,1972-11-30
C-000042,Sorina Stan,dnistor@example.org,0770 690 967,IF,Ilfov,Chitila,107692,0.419,0.339,0.394,0.39,0.316,0.18,2.51,11.19,391.21,32.71,1945-01-31
C-000043,Renata Nemeș,ladislau89@example.org,0755 346 706,CJ,Cluj,Turda,986288,0.53,0.442,0.315,0.389,0.372,0.3,0.39,1.94,308.85,234.65,1967-07-23
C-000044,Gianina Pop,tabacutudor@example.org,0768 990 162,PH,Prahova,Sinaia,673307,0.57,0.458,0.281,0.375,0.403,0.18,0.15,0.76,321.79,391.83,2003-09-03
C-000045,Ionela Ardelean,iulianamanole@example.org,0751 556 464,GL,Galati,Galati,500025,0.462,0.328,0.508,0.464,0.423,0.06,0.32,2.21,450.89,19.57,2001-07-01
C-000046,Edmond Ababei,wardelean@example.org,0721 100 330,VS,Vaslui,Husi,310287,0.456,0.409,0.324,0.345,0.389,0.05,3.7,10.52,545.73,278.5,1986-12-19
C-000047,Mariana Dima,htudor@example.net,0257 745 299,CJ,Cluj,Dej,504074,0.553,0.406,0.304,0.352,0.385,0.2,0.43,1.77,453.17,328.75,1995-07-31
C-000048,Geta Ioniță,stanescualexandrina@example.com,0743 663 193,BZB,Bucuresti,Sector 3,870105,0.634,0.316,0.2,0.358,0.402,1.48,0.57,3.76,270.0,54.85,1951-08-14
C-000049,Pătru Diaconu,walbu@example.net,0772 518 506,BZ,Buzau,Ramnicul Sarat,898654,0.342,0.394,0.39,0.357,0.366,0.16,1.1,6.48,249.18,366.35,2000-08-23
C-000050,Denisa Niță,raresdinu@example.com,0252 849 877,IF,Ilfov,Chitila,369725,0.51,0.36,0.366,0.352,0.323,0.09,7.5,9.83,307.96,206.22,1974-04-29
C-000051,Silvia Florea,gheorghiuludmila@example.org,0731 799 650,BZB,Bucuresti,Sector 2,254076,0.71,0.356,0.252,0.38,0.317,0.07,0.34,1.47,98.64,385.12,1978-04-28
C-000052,Ionela Popescu,mazilescugrigore@example.com,0265 948 083,BH,Bihor,Alesd,811139,0.345,0.37,0.283,0.395,0.352,0.06,0.92,16.24,187.65,141.77,1950-07-05
C-000053,Arsenie Popescu,sflorea@example.com,0722 770 143,GL,Galati,Galati,199984,0.414,0.319,0.442,0.471,0.319,0.21,0.4,4.96,215.38,8.74,1972-03-15
C-000054,Roxelana Tudor,emocanu@example.net,0748 568 557,CJ,Cluj,Turda,534366,0.497,0.448,0.253,0.356,0.423,0.71,0.69,1.74,557.79,33.43,1963-02-13
C-000055,Melina Ene,dumitrescugabriela@example.org,0732 823 374,BZ,Buzau,Buzau,307642,0.344,0.353,0.389,0.346,0.383,3.24,3.19,18.0,481.93,346.53,1993-12-28
C-000056,Dana Dumitrescu,doinamocanu@example.org,0268 082 400,CJ,Cluj,Turda,760724,0.563,0.419,0.284,0.43,0.359,0.19,0.79,2.7,245.17,58.9,1982-05-04
C-000057,Eliana Toma,adiaconescu@example.net,0266 777 520,AR,Arad,Lipova,371349,0.382,0.342,0.292,0.427,0.372,0.14,3.66,7.08,440.41,93.99,1961-11-12
C-000058,Doina Barbu,florin19@example.net,0730 022 941,IS,Iasi,Pascani,449357,0.631,0.319,0.278,0.43,0.385,1.02,0.52,0.44,106.27,249.99,1961-07-28
C-000059,Marin Nistor,ysuciu@example.net,0258 867 749,CT,Constanta,Constanta,862651,0.42,0.275,0.535,0.617,0.322,0.07,1.18,9.48,22.05,14.61,1973-11-12
C-000060,Miron Tabacu,tabacuviviana@example.org,0780 334 123,SV,Suceava,Radauti,422587,0.42,0.488,0.368,0.37,0.454,0.69,1.53,4.7,157.67,385.77,1956-07-06
C-000061,Frusina Aanei,cristofor97@example.com,0234 344 713,BR,Braila,Braila,568206,0.364,0.388,0.534,0.365,0.347,0.6,3.0,6.27,460.19,19.79,2007-07-22
C-000062,Severin Stănescu,nitacodrin@example.net,0258 242 102,MM,Maramures,Baia Mare,194153,0.364,0.61,0.381,0.374,0.387,0.13,2.1,7.23,541.54,176.01,1998-08-15
C-000063,Pamfil Stoica,loreleidiaconu@example.com,0739 464 887,CT,Constanta,Mangalia,647866,0.41,0.243,0.644,0.678,0.347,0.1,3.0,7.09,20.85,9.15,1974-06-22
C-000064,Paul Albu,silvia94@example.org,0241 399 049,BZB,Bucuresti,Sector 5,319236,0.594,0.35,0.251,0.327,0.319,0.12,0.36,1.13,330.38,384.95,1947-06-03
C-000065,Edmond Pușcașu,lgheorghiu@example.net,0771 717 565,PH,Prahova,Sinaia,545955,0.442,0.37,0.282,0.378,0.417,0.09,0.96,0.4,151.65,142.65,1966-07-13
C-000066,Georgeta Marin,gabriel46@example.net,0234 715 451,IF,Ilfov,Otopeni,187280,0.524,0.362,0.354,0.337,0.324,0.1,6.77,2.77,273.05,179.8,1997-04-03
C-000067,Horia Aanei,apop@example.org,0254 859 770,SV,Suceava,Suceava,795116,0.334,0.566,0.325,0.485,0.367,0.08,4.13,3.69,522.69,353.59,1958-07-15
C-000068,Luca Dima,loreleipopescu@example.org,0233 932 480,CV,Covasna,Targu Secuiesc,577764,0.277,0.554,0.314,0.509,0.502,0.68,2.49,5.96,305.97,78.75,1982-04-07
C-000069,Crenguța Ene,popblanduzia@example.net,0249 748 467,BT,Botosani,Botosani,957023,0.398,0.511,0.337,0.407,0.365,0.14,6.26,8.46,396.23,202.06,1976-10-26
C-000070,David Stancu,nemesemanuil@example.net,0758 214 658,GL,Galati,Tecuci,578696,0.385,0.43,0.548,0.456,0.371,0.16,4.41,3.32,493.12,15.95,1962-11-12
C-000071,Ozana Ioniță,qstanescu@example.com,0249 787 558,SV,Suceava,Falticeni,814271,0.335,0.564,0.36,0.451,0.354,2.35,1.34,7.23,408.79,175.38,1996-08-06
C-000072,Darius Manole,floreamugur@example.org,0784 057 662,BZB,Bucuresti,Sector 4,387240,0.721,0.321,0.236,0.36,0.347,0.97,0.11,1.97,100.93,196.36,1978-05-23
C-000073,Eliana Preda,gmarin@example.com,0242 870 262,BZB,Bucuresti,Sector 5,774656,0.775,0.328,0.236,0.329,0.397,0.22,1.2,1.52,344.65,365.62,1949-10-10
C-000074,Narcisa Marin,pnistor@example.org,0761 865 780,GR,Giurgiu,Giurgiu,844509,0.444,0.333,0.486,0.417,0.311,0.24,2.02,9.75,182.86,19.68,1986-09-14
C-000075,Marcheta Toma,doinacristea@example.com,0242 172 400,VL,Valcea,Ramnicu Valcea,352484,0.356,0.446,0.333,0.326,0.334,0.2,3.86,11.8,575.52,255.72,1966-10-04
C-000076,Rada Mazilescu,pamfildinu@example.org,0748 692 221,CJ,Cluj,Cluj-Napoca,590026,0.519,0.402,0.314,0.364,0.396,0.13,0.5,0.73,524.07,149.22,1986-02-28
C-000077,Sandu Voinea,popescudacian@example.org,0752 474 074,IF,Ilfov,Voluntari,959006,0.474,0.364,0.333,0.346,0.393,0.36,4.26,5.76,329.92,198.89,1990-10-18
C-000078,Cătălina Oprea,iuliantoma@example.com,0739 474 367,CJ,Cluj,Dej,357770,0.522,0.398,0.255,0.385,0.365,1.27,1.08,1.11,494.71,340.49,1951-12-10
C-000079,Adam Stoica,iosifionescu@example.org,0720 640 909,BV,Brasov,Brasov,951310,0.325,0.531,0.338,0.546,0.408,0.1,7.5,6.06,220.73,357.39,1995-05-24
C-000080,Paula Ene,omazilescu@example.net,0254 942 104,PH,Prahova,Ploiesti,319290,0.442,0.44,0.271,0.342,0.381,0.39,0.57,2.66,458.48,391.37,1998-05-08
C-000081,Aneta Stănescu,costincristea@example.com,0760 623 285,CT,Constanta,Mangalia,391371,0.395,0.244,0.541,0.631,0.335,0.39,1.25,13.98,24.24,12.79,1980-10-22
C-000082,Gherghina Georgescu,vionescu@example.com,0244 712 368,BZB,Bucuresti,Sector 5,352514,0.603,0.362,0.198,0.314,0.354,0.05,0.5,0.97,419.17,334.56,1969-07-29
C-000083,Amza Aanei,nicoletadiaconu@example.com,0766 496 513,BV,Brasov,Brasov,139104,0.268,0.665,0.384,0.481,0.493,0.48,7.5,7.24,470.14,201.93,1976-10-07
C-000084,Sandu Stancu,floriantomescu@example.org,0723 746 120,DJ,Dolj,Craiova,403522,0.389,0.319,0.403,0.332,0.307,0.13,6.68,15.28,419.84,196.03,1947-03-20
C-000085,Francisc Diaconu,floreaniculina@example.org,0785 758 692,GL,Galati,Galati,525839,0.473,0.429,0.556,0.386,0.344,0.32,0.45,2.77,449.48,1.64,2004-12-08
C-000086,Victor Diaconescu,atabacu@example.com,0234 537 735,AG,Arges,Campulung,193433,0.412,0.398,0.348,0.366,0.404,0.15,3.34,10.07,373.33,280.36,1951-06-12
C-000087,Leontin Tomescu,auricanistor@example.com,0254 171 390,BC,Bacau,Moinesti,855850,0.383,0.365,0.447,0.418,0.361,0.28,6.57,13.07,384.6,102.33,1948-02-16
C-000088,Marioara Dima,eeftimie@example.net,0256 933 529,PH,Prahova,Sinaia,170014,0.457,0.352,0.274,0.342,0.339,0.34,0.28,0.54,217.7,255.88,1944-11-16
C-000089,Filofteia Dima,zgeorgescu@example.org,0244 020 539,CS,Caras-Severin,Resita,513848,0.167,0.339,0.154,0.198,0.199,0.07,7.5,18.0,598.27,46.34,1966-09-19
C-000090,Ica Georgescu,dimavladelina@example.com,0748 117 758,GL,Galati,Tecuci,821208,0.403,0.425,0.512,0.464,0.338,0.12,3.16,3.02,246.96,5.64,1985-01-30
C-000091,Dacian Preda,tabacuanton@example.net,0720 847 007,BH,Bihor,Salonta,820606,0.444,0.411,0.311,0.389,0.343,0.19,0.25,0.98,375.33,200.87,2002-05-05
C-000092,Cantemir Voinea,popescuvaleria@example.com,0239 159 212,PH,Prahova,Campina,375115,0.508,0.378,0.286,0.337,0.329,0.39,0.54,0.81,213.86,335.91,1963-05-26
C-000093,Adam Suciu,dionescu@example.net,0727 611 836,BZB,Bucuresti,Sector 1,193529,0.695,0.341,0.195,0.397,0.339,0.24,0.51,3.33,93.8,305.08,1975-05-31
C-000094,Barbu Marin,anistor@example.net,0242 565 452,VL,Valcea,Dragasani,892526,0.385,0.421,0.319,0.38,0.356,0.37,5.76,4.52,338.23,228.5,1991-06-04
C-000095,Carolina Cristea,cristealioara@example.org,0732 528 098,BZB,Bucuresti,Sector 6,621648,0.769,0.36,0.204,0.36,0.39,0.23,0.78,0.95,395.75,187.24,1982-11-27
C-000096,Ecaterina Nistor,olimpianardelean@example.com,0711 451 983,DJ,Dolj,Craiova,735490,0.414,0.31,0.408,0.413,0.327,0.14,2.4,1.11,164.96,277.28,1955-03-19
C-000097,Lucreția Diaconescu,visarionmocanu@example.org,0780 493 689,DJ,Dolj,Craiova,502603,0.44,0.302,0.371,0.378,0.32,0.18,0.22,14.36,500.66,390.53,1986-06-09
C-000098,Rafael Tudor,alicedochioiu@example.com,0738 455 022,BC,Bacau,Bacau,427994,0.47,0.445,0.416,0.391,0.392,1.02,0.92,9.34,236.92,364.11,1983-03-22
C-000099,Caterina Dinu,cristeazaharia@example.net,0257 667 525,AG,Arges,Pitesti,943251,0.452,0.44,0.332,0.325,0.413,0.13,1.75,5.48,112.82,388.44,1965-11-21
C-000100,Mircea Suciu,ardeleancezara@example.org,0731 901 476,CT,Constanta,Constanta,214746,0.363,0.234,0.712,0.527,0.389,0.73,5.78,0.9,24.08,14.1,1977-09-25
C-000101,Bartolomeu Gheorghiu,predacodrin@example.com,0771 149 784,IF,Ilfov,Chitila,876293,0.532,0.4,0.372,0.373,0.345,0.18,3.18,2.06,311.96,374.35,1947-10-10
C-000102,Amza Suciu,aaneidaria@example.com,0257 244 510,MS,Mures,Sighisoara,445188,0.301,0.449,0.274,0.457,0.366,1.03,0.53,5.1,112.93,102.2,1978-07-13
C-000103,Ileana Dima,iustin38@example.net,0728 516 060,MM,Maramures,Sighetu Marmatiei,876713,0.365,0.556,0.363,0.387,0.463,0.21,7.5,2.8,307.68,379.91,1975-12-21
C-000104,Safta Stoica,nae66@example.com,0244 605 297,DJ,Dolj,Bailesti,256778,0.46,0.354,0.339,0.355,0.366,0.25,6.18,13.03,177.71,69.71,2001-04-21
C-000105,Consuela Niță,florealoredana@example.net,0769 816 453,IS,Iasi,Pascani,561337,0.553,0.376,0.319,0.431,0.373,0.2,0.65,3.01,106.43,393.11,1967-05-08
C-000106,Cerasela Preda,puscasuminodora@example.org,0763 523 124,HD,Hunedoara,Hunedoara,772849,0.364,0.546,0.282,0.466,0.444,0.27,2.62,7.6,424.52,278.59,1958-02-09
C-000107,Petrică Dinu,dochioiusalomea@example.com,0752 997 995,BZB,Bucuresti,Sector 5,540867,0.649,0.318,0.246,0.351,0.375,0.09,0.1,2.51,468.58,361.03,2003-06-30
C-000108,Florența Oprea,popaluana@example.net,0268 490 581,CJ,Cluj,Turda,395256,0.442,0.483,0.246,0.341,0.352,0.14,0.64,0.58,328.77,84.55,1965-10-22
C-000109,Dacian Albu,mocanufabiana@example.org,0722 199 867,CJ,Cluj,Turda,480527,0.471,0.377,0.279,0.398,0.327,0.25,0.17,0.39,205.19,163.5,1984-03-05
C-000110,Cristobal Stoica,manoleromulus@example.net,0249 071 518,BR,Braila,Braila,533010,0.396,0.339,0.438,0.43,0.33,0.06,3.1,14.56,202.72,19.32,1988-08-26
C-000111,Antonela Florea,hoprea@example.net,0725 255 466,BZB,Bucuresti,Sector 3,548138,0.704,0.361,0.259,0.362,0.391,1.46,0.35,2.62,328.14,212.9,1997-05-21
C-000112,Paul Ardelean,axintemarin@example.org,0741 644 925,GL,Galati,Galati,611350,0.432,0.413,0.441,0.39,0.408,2.76,1.06,5.44,288.86,7.43,1950-03-25
C-000113,Tinca Ioniță,eliza91@example.com,0741 652 816,MS,Mures,Sighisoara,944923,0.334,0.509,0.282,0.36,0.363,0.07,1.61,1.33,179.8,94.92,1979-04-15
C-000114,Alma Mocanu,corinaeftimie@example.com,0788 733 221,TM,Timis,Sannicolau Mare,338240,0.59,0.357,0.29,0.438,0.322,0.1,0.17,1.96,211.58,317.04,1964-10-23
C-000115,Grațian Stan,qalbu@example.com,0788 929 622,TR,Teleorman,Turnu Magurele,440485,0.468,0.32,0.319,0.383,0.402,0.06,7.45,11.21,285.52,306.42,1956-12-27
C-000116,Codruț Albu,victoria37@example.net,0266 738 347,DJ,Dolj,Craiova,269952,0.386,0.341,0.373,0.416,0.365,0.29,4.06,9.29,207.86,300.03,2006-03-14
C-000117,Viorica Voinea,doprea@example.com,0767 886 239,SV,Suceava,Radauti,188009,0.363,0.455,0.332,0.429,0.39,0.74,2.37,9.04,212.46,79.96,1954-02-06
C-000118,Aureliana Tomescu,jmocanu@example.org,0736 814 124,BZB,Bucuresti,Sector 4,461842,0.619,0.359,0.218,0.301,0.315,0.32,0.86,1.35,521.16,114.23,1975-04-05
C-000119,Codrin Cristea,opreamanole@example.org,0770 068 536,AG,Arges,Curtea de Arges,880680,0.377,0.414,0.404,0.333,0.407,0.34,0.28,7.05,467.28,333.59,1950-03-28
C-000120,Lucreția Ababei,cazimirtomescu@example.com,0248 204 727,SV,Suceava,Falticeni,359069,0.325,0.461,0.367,0.434,0.427,0.49,1.42,18.0,432.55,223.54,1975-03-19
C-000121,Clara Ababei,dianadinu@example.net,0734 986 143,BZ,Buzau,Buzau,815708,0.455,0.427,0.422,0.429,0.358,0.14,1.41,7.01,489.65,171.63,1965-03-06
C-000122,Astrid Florea,teohari97@example.org,0244 798 089,BZB,Bucuresti,Sector 3,895175,0.635,0.351,0.214,0.361,0.367,0.34,0.4,0.46,337.71,50.43,1961-02-23
C-000123,Pompilia Niță,tabacuilinca@example.org,0743 621 851,DB,Dambovita,Gaesti,878589,0.344,0.388,0.425,0.324,0.403,0.1,0.55,8.22,356.27,318.33,1980-06-25
C-000124,Alexandru Popa,tomajana@example.com,0262 051 531,CJ,Cluj,Dej,307671,0.429,0.483,0.292,0.39,0.402,0.17,1.66,1.42,541.79,330.35,1997-03-08
C-000125,Emilia Albu,veniaminmarin@example.net,0252 772 217,DB,Dambovita,Gaesti,620747,0.357,0.457,0.42,0.422,0.356,0.12,0.59,1.29,594.71,57.4,1947-03-15
C-000126,Laura Albu,albujenel@example.com,0758 687 403,BT,Botosani,Dorohoi,844528,0.41,0.487,0.39,0.446,0.417,0.22,0.5,14.76,168.25,324.73,1964-02-26
C-000127,Astrid Tomescu,iancudiaconu@example.com,0771 676 527,CJ,Cluj,Turda,238178,0.462,0.469,0.261,0.396,0.415,0.11,0.63,2.17,553.09,139.16,1991-10-12
C-000128,Viorica Pușcașu,anutanita@example.org,0771 928 451,MM,Maramures,Baia Mare,360850,0.33,0.57,0.362,0.441,0.378,0.19,1.28,2.14,292.7,62.08,1950-02-18
C-000129,Vlaicu Ionescu,lucianasuciu@example.net,0772 275 705,CL,Calarasi,Calarasi,496865,0.429,0.322,0.522,0.405,0.377,0.34,7.5,9.11,354.9,15.45,1986-07-11
C-000130,Octavia Toma,barbusteliana@example.net,0769 582 029,SV,Suceava,Suceava,164665,0.368,0.497,0.413,0.432,0.413,0.32,0.38,15.86,80.3,189.82,1990-10-29
C-000131,Angela Dima,floreasilvia@example.com,0765 690 927,TR,Teleorman,Turnu Magurele,760119,0.365,0.357,0.336,0.425,0.315,0.31,4.28,4.67,199.95,365.14,1969-12-05
C-000132,Costache Barbu,hdima@example.com,0768 543 102,IS,Iasi,Iasi,780483,0.608,0.431,0.298,0.351,0.347,0.11,0.34,2.23,412.29,348.19,1978-08-23
C-000133,Maxim Diaconu,elodiaoprea@example.org,0725 473 121,BZB,Bucuresti,Sector 2,283474,0.681,0.357,0.212,0.344,0.401,0.96,0.52,1.58,342.86,265.57,1975-06-12
C-000134,Costel Cristea,ludovicbarbu@example.net,0746 442 258,GL,Galati,Tecuci,774255,0.404,0.356,0.444,0.385,0.414,0.14,0.82,12.22,421.05,7.6,1959-12-11
C-000135,Larisa Dima,popescualistar@example.com,0740 957 829,BC,Bacau,Bacau,149441,0.461,0.343,0.442,0.359,0.413,0.39,0.86,15.96,85.73,96.08,2004-11-09
C-000136,Carmina Ioniță,eric86@example.com,0743 125 177,BZB,Bucuresti,Sector 3,594543,0.604,0.296,0.236,0.374,0.36,0.44,0.1,3.68,196.7,47.01,1990-12-19
C-000137,Elisaveta Stancu,xdochioiu@example.org,0771 801 824,DB,Dambovita,Targoviste,740267,0.342,0.393,0.391,0.387,0.406,5.61,4.64,3.05,207.69,45.74,1955-11-21
C-000138,Silvia Ene,teohariionescu@example.org,0262 384 249,CL,Calarasi,Oltenita,509404,0.39,0.316,0.521,0.451,0.319,0.12,2.58,1.85,476.77,24.28,1980-12-26
C-000139,Gheorghiță Tomescu,stanescudavid@example.org,0720 995 900,BZB,Bucuresti,Sector 2,973638,0.685,0.284,0.249,0.362,0.362,0.2,1.01,0.28,459.49,344.12,1950-03-18
C-000140,Tiberiu Stoica,simonaeftimie@example.net,0770 907 844,IL,Ialomita,Fetesti,558846,0.401,0.399,0.401,0.36,0.316,0.09,1.96,18.0,526.97,169.93,1977-07-19
C-000141,Aristide Ioniță,sbarbu@example.org,0250 767 735,VL,Valcea,Dragasani,317529,0.399,0.479,0.348,0.37,0.43,0.22,0.25,2.61,327.16,308.9,1985-12-19
C-000142,Safta Manole,nicodimdima@example.com,0758 815 371,CT,Constanta,Mangalia,401541,0.441,0.252,0.689,0.59,0.398,1.07,1.6,3.62,5.43,17.5,1962-11-20
C-000143,Mălina Dinu,ardeleanfilofteia@example.com,0725 632 595,AG,Arges,Campulung,357934,0.357,0.393,0.365,0.377,0.35,0.11,7.5,13.27,87.16,121.87,1957-08-08
